,Game ID,Player,Outcome,Team,Kills,Deaths,+/-,Flag Captures,Flag Attempts,Switch,Elected,Assassinations,Score,Time Played,Death Chart,Damage Dealt,Damage Taken,DR,DKR,DDF,Laser DD,Laser DT,Missile DD,Missile DT,Grenade DD,Grenade DT,Bouncy DD,Bouncy DT,Killed Most - Players,Killed Most - Values,Killed Most By - Players,Killed Most By - Values,Damaged Most - Players,Damaged Most - Values,Damaged Most By - Players,Damaged Most By - Values
1794,213,FwitG,0,2,27,23,4,,,,,,0,26,http://cta.critical-hq.net/chart.php?player=FwitG&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Anenemoos ergophonics Obama2012 Sparkinator USA lowkey Assailant Helwor Fudorm muahaha fr33k 20LbGenitals,4 4 3 3 3 2 2 2 1 1 1 1,20LbGenitals USA Sparkinator ergophonics fr33k lowkey Fudorm muahaha Obama2012 Anenemoos,5 4 3 3 2 2 1 1 1 1,,,,
1795,213,Fudorm,0,2,22,17,5,,,,,,0,16,http://cta.critical-hq.net/chart.php?player=Fudorm&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ergophonics USA lowkey Helwor Assailant Obama2012 20LbGenitals FwitG Sparkinator Anenemoos fr33k,4 4 3 2 2 2 1 1 1 1 1,lowkey USA Assailant ergophonics fr33k FwitG Helwor,5 3 3 2 2 1 1,,,,
1796,213,Helwor,0,2,20,36,-16,,,,,,0,28,http://cta.critical-hq.net/chart.php?player=Helwor&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Obama2012 Assailant Sparkinator fr33k lowkey USA Anenemoos 20LbGenitals muahaha Fudorm ergophonics,4 3 3 2 2 1 1 1 1 1 1,lowkey ergophonics fr33k Assailant muahaha Obama2012 Sparkinator Fudorm FwitG 20LbGenitals Anenemoos USA,8 6 3 3 3 3 3 2 2 1 1 1,,,,
1797,213,Anenemoos,0,2,16,31,-15,,,,,,0,25,http://cta.critical-hq.net/chart.php?player=Anenemoos&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Sparkinator fr33k lowkey USA ergophonics Assailant FwitG Helwor,4 3 2 2 2 1 1 1,fr33k FwitG lowkey 20LbGenitals Sparkinator USA Obama2012 Assailant Helwor Fudorm ergophonics,5 4 4 4 3 3 3 2 1 1 1,,,,
1798,213,muahaha,0,2,14,13,1,,,,,,0,16,http://cta.critical-hq.net/chart.php?player=muahaha&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Obama2012 ergophonics Helwor lowkey FwitG,5 3 3 2 1,Sparkinator Obama2012 FwitG lowkey 20LbGenitals USA Helwor ergophonics Assailant fr33k,3 2 1 1 1 1 1 1 1 1,,,,
1799,214,FwitG,1,1,75,42,33,,,6.0,,,4,32,http://cta.critical-hq.net/chart.php?player=FwitG&matchID=214,16284,13100,1.2430534351145037,217,0,7404,7856,2300,428,2464,1488,4116,3328,Grune Hunter ergophonics Sparkinator Fudorm fr33k USA,14 13 11 10 10 9 8,Hunter Fudorm Grune fr33k Sparkinator USA ergophonics,12 8 7 5 5 3 2,Hunter Grune Fudorm Sparkinator ergophonics USA fr33k,3320 2596 2372 2252 2184 1896 1664,Hunter Fudorm Grune ergophonics USA Sparkinator fr33k,3464 2708 1792 1568 1340 1292 936
1800,214,Nuts,1,1,60,38,22,,,10.0,,,4,28,http://cta.critical-hq.net/chart.php?player=Nuts&matchID=214,15188,11588,1.3106662064204349,253,0,6868,6808,1816,1468,2740,1180,3764,2132,Grune Hunter Fudorm ergophonics Sparkinator USA fr33k,18 13 7 7 6 6 3,Hunter fr33k USA Grune ergophonics Fudorm Sparkinator Genocide,12 6 6 4 3 3 3 1,Grune Hunter Fudorm Sparkinator USA ergophonics fr33k Genocide,3528 3052 2040 1892 1744 1516 1352 64,Hunter fr33k Fudorm ergophonics USA Sparkinator Grune Genocide,2800 1984 1684 1504 1388 1284 888 56
1801,214,lowkey,1,1,60,40,20,,,13.0,,,4,31,http://cta.critical-hq.net/chart.php?player=lowkey&matchID=214,15032,12244,1.227703364913427,251,0,7836,7040,1248,700,2244,1048,3704,3456,Sparkinator Grune ergophonics USA Hunter fr33k Fudorm,14 11 10 7 7 6 5,Hunter ergophonics Fudorm USA Sparkinator Grune fr33k,10 9 6 5 5 3 2,Grune Sparkinator ergophonics Hunter USA fr33k Fudorm Genocide,2872 2868 2752 2424 1644 1416 1028 28,Hunter ergophonics Sparkinator fr33k USA Grune Fudorm,2640 2520 1620 1596 1580 1272 1016
1802,214,cyro,1,1,59,52,7,,,9.0,,,4,30,http://cta.critical-hq.net/chart.php?player=cyro&matchID=214,16700,14436,1.1568301468550846,283,0,8860,9240,1548,728,2596,1416,3696,3052,Sparkinator USA Fudorm ergophonics Hunter fr33k Grune,12 11 10 10 7 5 4,fr33k Sparkinator ergophonics Hunter Fudorm USA Grune Genocide,14 11 10 6 5 3 2 1,Fudorm Sparkinator USA ergophonics fr33k Grune Hunter Genocide,3352 3020 2556 1988 1920 1920 1844 100,Fudorm ergophonics Sparkinator fr33k Hunter USA Grune Genocide,3312 2816 2560 2176 1536 1064 888 84
1803,214,Assailant,1,1,58,44,14,,,6.0,,,4,37,http://cta.critical-hq.net/chart.php?player=Assailant&matchID=214,16240,12608,1.2880710659898478,280,0,10992,7452,0,588,1464,1424,3784,3144,Fudorm Grune Sparkinator fr33k USA ergophonics Hunter,12 11 9 9 8 5 4,fr33k ergophonics Fudorm Sparkinator Grune Hunter USA,11 10 8 8 3 3 1,Sparkinator Fudorm fr33k Hunter USA ergophonics Grune,2964 2832 2588 2108 2100 1868 1780,fr33k Fudorm ergophonics Sparkinator Hunter USA Grune,3152 2376 2112 2092 1168 976 732
