Number of Teams,Recharge Rate,Game ID,Laser Damage,Special Damage,Map,Game Mode,Date,Player Count,Referee
2,High,22261,Normal,Normal,synapse0.1,Normal,2019-09-06 00:18:00,8,nizem
2,High,22262,Normal,Normal,CTA-Joy,Normal,2019-09-06 00:49:00,6,tela
2,High,22263,Normal,Normal,CTA-Joy,Normal,2019-09-06 21:24:00,8,Goobs
2,High,22264,Normal,Normal,CTA-Joy,Normal,2019-09-06 21:56:00,8,Atomos
2,High,22265,Normal,Normal,CTA-Joy,Normal,2019-09-06 22:21:00,10,Atomos
2,High,22266,Normal,Normal,CTA-Joy,Normal,2019-09-06 22:44:00,10,Atomos
2,High,22267,Normal,Normal,CTA-Joy,Normal,2019-09-06 23:17:00,10,paz
2,Normal,22268,Normal,Normal,CTA-Stank,Normal,2019-09-06 23:47:00,8,paz
2,Normal,22269,Normal,Normal,CTA-BFD,Normal,2019-09-07 20:14:00,6,paz
2,High,22270,Normal,Normal,CTA-Joy,Normal,2019-09-07 20:42:00,8,paz
2,High,22271,Normal,Normal,CTA-Joy,Normal,2019-09-07 21:23:00,5,Venture
2,High,22272,Normal,Normal,CTA-Joy,Normal,2019-09-07 22:10:00,8,Venture
2,High,22273,Normal,Normal,CTA-Joy,Normal,2019-09-07 23:46:00,6,tela
2,High,22274,Normal,Normal,CTA-Joy,Normal,2019-09-08 00:14:00,8,Venture
2,High,22275,Normal,Normal,CTA-Joy,Normal,2019-09-08 00:47:00,8,Atomos
2,High,22276,Normal,Normal,CTA-Joy,Normal,2019-09-08 01:16:00,8,Atomos
2,High,22277,Normal,Normal,CTA-Joy,Normal,2019-09-08 21:05:00,8,Venture
2,High,22278,Normal,Normal,CTA-Joy,Normal,2019-09-08 21:38:00,8,Venture
2,High,22279,Normal,Normal,CTA-Joy,Normal,2019-09-08 22:03:00,8,Venture
2,High,22280,Normal,Normal,CTA-Joy,Normal,2019-09-08 22:48:00,10,Venture
2,High,22281,Normal,Normal,CTA-Joy,Normal,2019-09-08 23:18:00,8,Venture
2,High,22282,Normal,Normal,CTA-Joy,Normal,2019-09-08 23:40:00,8,Venture
2,High,22283,Normal,Normal,CTA-Joy,Normal,2019-09-09 00:14:00,8,Lunu
2,High,22284,Normal,Normal,CTA-Joy,Normal,2019-09-09 00:43:00,8,Lunu
2,High,22285,Normal,Normal,CTA-Joy,Normal,2019-09-09 22:05:00,6,Atomos
2,High,22286,Normal,Normal,CTA-Joy,Normal,2019-09-09 22:27:00,8,ElAsesino
2,High,22287,Normal,Normal,CTA-Joy,Normal,2019-09-09 23:16:00,8,tela
